Drug Name,Therapeutic_Class,Alternative Count,SI Score,SRI Score,Market Status,Supply Chain Action
Isozex 5mg/1mg Tablet,GASTRO INTESTINAL,480,8.11,1.89,High Flexibility (Safe),Lean Inventory (Low Risk)
Telmikind 40 Tablet,CARDIAC,161,2.72,7.28,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Isowok 40mg Tablet,GYNAECOLOGICAL,45,0.76,9.24,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Macfast Infusion,PAIN ANALGESICS,4,0.07,9.93,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
BMP-Forte Capsule,VITAMINS MINERALS NUTRIENT,590,9.97,0.03,High Flexibility (Safe),Lean Inventory (Low Risk)
Hynorax 10mg Tablet,RESPIRATORY,87,1.47,8.53,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
ISCO 6 MG TABLET,ANTI INFECTIVES,590,9.97,0.03,High Flexibility (Safe),Lean Inventory (Low Risk)
Neopep DP Tablet,PAIN ANALGESICS,38,0.64,9.36,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Oscold Syrup,RESPIRATORY,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Debipro 300mg Tablet,CARDIAC,102,1.72,8.28,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Azitrovin 250 Tablet,ANTI INFECTIVES,16,0.27,9.73,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Erinac SR Tablet,PAIN ANALGESICS,99,1.67,8.33,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
P-Scab Lotion,DERMA,0,0.0,10.0,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Nxtil 125mg Dry Syrup,ANTI INFECTIVES,2,0.03,9.97,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Rifaxigyl-M Tablet,GASTRO INTESTINAL,21,0.35,9.65,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Gonicef 250mg Injection,ANTI INFECTIVES,8,0.14,9.86,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Vexdin 120mg Tablet,RESPIRATORY,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Actigaba NT 100mg/10mg Tablet,NEURO CNS,45,0.76,9.24,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Olidax AC 40mg/5mg/12.5mg Tablet,CARDIAC,480,8.11,1.89,High Flexibility (Safe),Lean Inventory (Low Risk)
Pantax 40 Tablet,GASTRO INTESTINAL,33,0.56,9.44,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Vriom D 10mg/20mg Capsule,GASTRO INTESTINAL,30,0.51,9.49,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Olumpil OZ Oral Suspension,GASTRO INTESTINAL,478,8.07,1.93,High Flexibility (Safe),Lean Inventory (Low Risk)
Metoder 50 Tablet,CARDIAC,477,8.06,1.94,High Flexibility (Safe),Lean Inventory (Low Risk)
Bencef-SB 1.5gm Injection,ANTI INFECTIVES,80,1.35,8.65,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Baloforce 100mg Tablet,ANTI INFECTIVES,482,8.14,1.86,High Flexibility (Safe),Lean Inventory (Low Risk)
Revofer Solution for Injection,GYNAECOLOGICAL,60,1.01,8.99,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Wigat D Eye Drop,OPHTHAL OTOLOGICAL,588,9.93,0.07,High Flexibility (Safe),Lean Inventory (Low Risk)
Almerzil 5mg Tablet,NEURO CNS,132,2.23,7.77,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Duotrol-SR Tablet,ANTI DIABETICS,371,6.27,3.73,Medium Flexibility,Regular Monitoring
Cheskas DX Plus Syrup,RESPIRATORY,34,0.57,9.43,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Tranheal 12.5mcg Tablet,HORMONES,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Odal Plus Oral Suspension,ANTI INFECTIVES,482,8.14,1.86,High Flexibility (Safe),Lean Inventory (Low Risk)
Loza 50mg/12.5mg Tablet,CARDIAC,95,1.6,8.4,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Claribid 500 Tablet,ANTI INFECTIVES,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Quinbid TZ 500mg/600mg Tablet,GASTRO INTESTINAL,481,8.12,1.88,High Flexibility (Safe),Lean Inventory (Low Risk)
Metormin 850mg Tablet,ANTI DIABETICS,476,8.04,1.96,High Flexibility (Safe),Lean Inventory (Low Risk)
Restme 25mg Tablet,GASTRO INTESTINAL,15,0.25,9.75,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Opl XL 25 Tablet,CARDIAC,53,0.9,9.1,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Ipodex 200mg Tablet DT,ANTI INFECTIVES,68,1.15,8.85,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Pancast Injection,GASTRO INTESTINAL,482,8.14,1.86,High Flexibility (Safe),Lean Inventory (Low Risk)
Thrabis Vaccine,VACCINES,2,0.03,9.97,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Dexrobel-DSR Capsule,GASTRO INTESTINAL,103,1.74,8.26,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Bladospas-O Tablet,ANTI INFECTIVES,84,1.42,8.58,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Xbira 250mg Tablet,ANTI NEOPLASTIC,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Optiviral 200mg Tablet,ANTI INFECTIVES,590,9.97,0.03,High Flexibility (Safe),Lean Inventory (Low Risk)
Elgnil Cold Tablet,RESPIRATORY,6,0.1,9.9,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Xoburic 40mg Tablet,PAIN ANALGESICS,7,0.12,9.88,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Amlopres Trio 80 Tablet,CARDIAC,53,0.9,9.1,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
KPS Cold Syrup,RESPIRATORY,6,0.1,9.9,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Doroflox OZ 200mg/500mg Infusion,ANTI INFECTIVES,264,4.46,5.54,Medium Flexibility,Regular Monitoring
Congy L Tablet,RESPIRATORY,481,8.12,1.88,High Flexibility (Safe),Lean Inventory (Low Risk)
Atminic Dca Tablet,RESPIRATORY,103,1.74,8.26,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Danasulid 100mg Tablet,PAIN ANALGESICS,84,1.42,8.58,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Elpic 500mg Tablet,BLOOD RELATED,482,8.14,1.86,High Flexibility (Safe),Lean Inventory (Low Risk)
Pirocam 20mg Tablet DT,PAIN ANALGESICS,58,0.98,9.02,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Bhurab D 30mg/20mg Capsule SR,GASTRO INTESTINAL,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Lewlet-A 5mg/60mg Tablet,RESPIRATORY,481,8.12,1.88,High Flexibility (Safe),Lean Inventory (Low Risk)
Cabotres 40 Tablet,ANTI NEOPLASTICS,99,1.67,8.33,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Pic-P Tablet,PAIN ANALGESICS,481,8.12,1.88,High Flexibility (Safe),Lean Inventory (Low Risk)
Teli CL  40 Tablet,CARDIAC,380,6.42,3.58,Medium Flexibility,Regular Monitoring
Pantozen D 30mg/40mg Capsule SR,GASTRO INTESTINAL,38,0.64,9.36,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
JV Flox OZ 200mg/500mg Tablet,GASTRO INTESTINAL,132,2.23,7.77,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Pionorm-M 30mg/500mg Tablet SR,ANTI DIABETICS,49,0.83,9.17,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Glucowin-MV 2 Tablet SR,ANTI DIABETICS,21,0.35,9.65,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Ursobact 300mg Tablet SR,GASTRO INTESTINAL,42,0.71,9.29,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Bestocid Syrup,GASTRO INTESTINAL,15,0.25,9.75,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Glitanel Plus 15mg/500mg Tablet,ANTI DIABETICS,9,0.15,9.85,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Betacon ER 25mg Tablet,CARDIAC,34,0.57,9.43,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Nucomin Forte Injection,VITAMINS MINERALS NUTRIENT,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Riscid Syrup,GASTRO INTESTINAL,313,5.29,4.71,Medium Flexibility,Regular Monitoring
Vose M 500mg/0.2mg Tablet,ANTI DIABETICS,380,6.42,3.58,Medium Flexibility,Regular Monitoring
Nelex NT 75mg/10mg/1500mcg Tablet,NEURO CNS,10,0.17,9.83,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Zomelis Met 50mg/500mg Tablet,ANTI DIABETICS,311,5.25,4.75,Medium Flexibility,Regular Monitoring
Clavidur XR Tablet,ANTI INFECTIVES,132,2.23,7.77,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Panvie 40mg Tablet,GASTRO INTESTINAL,481,8.12,1.88,High Flexibility (Safe),Lean Inventory (Low Risk)
Dica Tablet,PAIN ANALGESICS,97,1.64,8.36,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Benitowa-Beta 8mg/25mg Tablet ER,CARDIAC,41,0.69,9.31,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Koolact-L Capsule SR,GASTRO INTESTINAL,103,1.74,8.26,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Tvs CV 10mg/75mg Capsule,CARDIAC,2,0.03,9.97,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Triclogesic Tablet,PAIN ANALGESICS,480,8.11,1.89,High Flexibility (Safe),Lean Inventory (Low Risk)
Ddline 50mg Injection,HORMONE,17,0.29,9.71,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Milibact 250 mg/125 mg Injection,ANTI INFECTIVES,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Olcet L 5mg Tablet,RESPIRATORY,313,5.29,4.71,Medium Flexibility,Regular Monitoring
Valpam 250mg Tablet ER,NEURO CNS,73,1.23,8.77,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Xepar 12.5mg Tablet SR,NEURO CNS,478,8.07,1.93,High Flexibility (Safe),Lean Inventory (Low Risk)
Meditrex 15mg Tablet,ANTI NEOPLASTICS,313,5.29,4.71,Medium Flexibility,Regular Monitoring
Ozotel-AM Tablet,CARDIAC,78,1.32,8.68,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Ovil 500 Tablet,OPHTHAL,23,0.39,9.61,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Hildrox 25 Tablet,RESPIRATORY,33,0.56,9.44,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Forgesic-T4 Tablet,PAIN ANALGESICS,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Azovas 8mg Tablet,CARDIAC,377,6.37,3.63,Medium Flexibility,Regular Monitoring
Fairface Cream,DERMA,369,6.23,3.77,Medium Flexibility,Regular Monitoring
Irokof-LS Syrup Raspberry Sugar Free,RESPIRATORY,591,9.98,0.02,High Flexibility (Safe),Lean Inventory (Low Risk)
Tescal-D3 Softgel Capsule,VITAMINS MINERALS NUTRIENTS,9,0.15,9.85,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Aldigesic-Rab Capsule SR,PAIN ANALGESICS,133,2.25,7.75,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Kezole Soap,DERMA,309,5.22,4.78,Medium Flexibility,Regular Monitoring
Mucotyle 1000mg Injection,OTHERS,66,1.11,8.89,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Ralifen-MR Tablet,PAIN ANALGESICS,263,4.44,5.56,Medium Flexibility,Regular Monitoring
Enbrel 50mg Injection,PAIN ANALGESICS,76,1.28,8.72,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Ocurax 400mg Tablet,ANTI INFECTIVES,102,1.72,8.28,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Bro-Zedex  Expectorant,RESPIRATORY,72,1.22,8.78,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Homocet Injection,VITAMINS MINERALS NUTRIENT,64,1.08,8.92,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
D.D.Lam 0.25mg Tablet,NEURO CNS,481,8.12,1.88,High Flexibility (Safe),Lean Inventory (Low Risk)
Flamiclav 1.2 gm Injection,ANTI INFECTIVES,103,1.74,8.26,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Livodoz 5mg Tablet,RESPIRATORY,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Mortadol 50mg/500mg Tablet,PAIN ANALGESICS,101,1.71,8.29,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Limosan Cold Tablet,RESPIRATORY,98,1.66,8.34,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Udtox 300 Tablet,GASTRO INTESTINAL,482,8.14,1.86,High Flexibility (Safe),Lean Inventory (Low Risk)
Silital Plus 0.5mg/10mg Tablet,NEURO CNS,33,0.56,9.44,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Worzee LB 500mg Tablet,ANTI INFECTIVES,264,4.46,5.54,Medium Flexibility,Regular Monitoring
Vilcose-M SR 50/500 Tablet,ANTI DIABETICS,77,1.3,8.7,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Sitrizin Cold Syrup,RESPIRATORY,481,8.12,1.88,High Flexibility (Safe),Lean Inventory (Low Risk)
Terbani 250mg Tablet,ANTI INFECTIVES,52,0.88,9.12,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Vicosit M Syrup,RESPIRATORY,5,0.08,9.92,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Lucimac Cream,DERMA,99,1.67,8.33,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Rosuflo D 10 mg/1000 IU Tablet,CARDIAC,7,0.12,9.88,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Pregsafe 250 Injection,GYNAECOLOGICAL,54,0.91,9.09,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Rixant 15 Tablet,BLOOD RELATED,312,5.27,4.73,Medium Flexibility,Regular Monitoring
Kefmont-LC Tablet,RESPIRATORY,133,2.25,7.75,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
D-Code 6mg Tablet,HORMONE,313,5.29,4.71,Medium Flexibility,Regular Monitoring
Bealert 10mg Tablet,RESPIRATORY,96,1.62,8.38,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Nutaz 30mg Tablet,NEURO CNS,465,7.85,2.15,High Flexibility (Safe),Lean Inventory (Low Risk)
Febtab Tablet,PAIN ANALGESICS,76,1.28,8.72,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Diclogin 50mg Tablet,PAIN ANALGESICS,58,0.98,9.02,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Actum 250mg Tablet,ANTI INFECTIVES,32,0.54,9.46,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
LC-Cof-A Syrup,RESPIRATORY,54,0.91,9.09,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Ehlmont L 5mg/10mg Tablet,RESPIRATORY,33,0.56,9.44,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Blumeth 16mg Tablet,HORMONES,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Vizinate MF Ointment,DERMA,481,8.12,1.88,High Flexibility (Safe),Lean Inventory (Low Risk)
Coehcg 10000IU Powder for Injection,GYNAECOLOGICAL,264,4.46,5.54,Medium Flexibility,Regular Monitoring
Hyrite 25mg Tablet,RESPIRATORY,35,0.59,9.41,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Nuroler NT 400mg/10mg Tablet,NEURO CNS,483,8.16,1.84,High Flexibility (Safe),Lean Inventory (Low Risk)
Jakoff DX Junior Syrup,RESPIRATORY,313,5.29,4.71,Medium Flexibility,Regular Monitoring
Trazograf 60% Injection,OTHERS,480,8.11,1.89,High Flexibility (Safe),Lean Inventory (Low Risk)
Rabatec 20mg Tablet,GASTRO INTESTINAL,381,6.44,3.56,Medium Flexibility,Regular Monitoring
Vildadip M 500mg/50mg Tablet,ANTI DIABETICS,99,1.67,8.33,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Losakind 50 Tablet,CARDIAC,481,8.12,1.88,High Flexibility (Safe),Lean Inventory (Low Risk)
Lizomac CX Tablet,ANTI INFECTIVES,42,0.71,9.29,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
ETHARIV 250MG TABLET,BLOOD RELATED,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Glimimore MF 2mg/500mg Tablet,ANTI DIABETICS,312,5.27,4.73,Medium Flexibility,Regular Monitoring
Neurotrip 10mg Tablet,NEURO CNS,63,1.06,8.94,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
EJALONG XL 50 MG/30 MG TABLET,SEX STIMULANTS REJUVENATOR,20,0.34,9.66,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Hyocimax MF  Tablet,GASTRO INTESTINAL,106,1.79,8.21,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Dorzox T  PF Eye Drop,OPHTHA,12,0.2,9.8,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Offa-OZ Tablet,GASTRO INTESTINAL,380,6.42,3.58,Medium Flexibility,Regular Monitoring
Fineface Cream,DERMA,4,0.07,9.93,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Xorimax 500mg Tablet,ANTI INFECTIVES,81,1.37,8.63,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Renoxia 500mg/150mg Capsule,UROLOG,73,1.23,8.77,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Osani O Tablet,GASTRO INTESTINAL,21,0.35,9.65,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Heso LS 75mg/40mg Capsule SR,GASTRO INTESTINAL,378,6.39,3.61,Medium Flexibility,Regular Monitoring
Eroma 250mg Tablet,ANTI INFECTIVES,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Doxosal-M Tablet SR,RESPIRATORY,104,1.76,8.24,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Rosupil 20mg Tablet,CARDIAC,313,5.29,4.71,Medium Flexibility,Regular Monitoring
Spasmed 20mg/500mg Tablet,GASTRO INTESTINAL,590,9.97,0.03,High Flexibility (Safe),Lean Inventory (Low Risk)
Paritep 12.5mg Tablet SR,NEURO CNS,8,0.14,9.86,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Amoxytor 500mg Capsule,ANTI INFECTIVES,36,0.61,9.39,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Lin 600mg Tablet,ANTI INFECTIVES,5,0.08,9.92,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Sulbacef 250mg/250mg Injection,ANTI INFECTIVES,73,1.23,8.77,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Naltima 50 Tablet,NEURO CNS,101,1.71,8.29,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Voxim 1.5 Injection,ANTI INFECTIVES,97,1.64,8.36,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Faram Tablet,ANTI INFECTIVES,313,5.29,4.71,Medium Flexibility,Regular Monitoring
Tinnpress Tablet,VITAMINS MINERALS NUTRIENT,481,8.12,1.88,High Flexibility (Safe),Lean Inventory (Low Risk)
Bioket 2% Shampoo,DERMA,0,0.0,10.0,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Ropin Injection,PAIN ANALGESICS,312,5.27,4.73,Medium Flexibility,Regular Monitoring
Cytoheart OD 60mg Tablet,CARDIAC,8,0.14,9.86,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Monadine Tablet,RESPIRATORY,23,0.39,9.61,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Jndox 50mg Oral Suspension,ANTI INFECTIVES,483,8.16,1.84,High Flexibility (Safe),Lean Inventory (Low Risk)
Novapime 1gm Injection,ANTI INFECTIVES,1,0.02,9.98,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Neonac Plus Tablet,PAIN ANALGESICS,482,8.14,1.86,High Flexibility (Safe),Lean Inventory (Low Risk)
Tachop 0.03% Ointment,ANTI NEOPLASTICS,70,1.18,8.82,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Throtocin 250mg Tablet,ANTI INFECTIVES,83,1.4,8.6,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Verflox 200mg Tablet,ANTI INFECTIVES,62,1.05,8.95,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Wiscoryl LS Syrup,RESPIRATORY,26,0.44,9.56,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
M Kast 10mg Tablet,RESPIRATORY,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Fexidine 30mg/5ml Suspension,RESPIRATORY,378,6.39,3.61,Medium Flexibility,Regular Monitoring
Saiumet L 1000mg/2.5mg Tablet,ANTI DIABETICS,53,0.9,9.1,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Ladogal 100mg Capsule,GYNAECOLOGICAL,40,0.68,9.32,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Qvogle V 0.3mg Tablet,ANTI DIABETICS,312,5.27,4.73,Medium Flexibility,Regular Monitoring
Cephorest 200mg Tablet,ANTI INFECTIVES,313,5.29,4.71,Medium Flexibility,Regular Monitoring
Aristomol M Oral Suspension,PAIN ANALGESICS,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Yopcid Suspension,GASTRO INTESTINAL,4,0.07,9.93,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Q EX D Syrup,RESPIRATORY,36,0.61,9.39,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Ximeceff DS Dry Syrup,ANTI INFECTIVES,99,1.67,8.33,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Statpure 5mg Tablet,CARDIAC,0,0.0,10.0,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Monac 10mg Tablet,RESPIRATORY,15,0.25,9.75,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Histanit 10mg Syrup,RESPIRATORY,44,0.74,9.26,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Tridol 50mg Capsule,PAIN ANALGESICS,29,0.49,9.51,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Drofine-M Tablet,GASTRO INTESTINAL,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Lipicure 20 Tablet,CARDIAC,61,1.03,8.97,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Yehept Syrup,VITAMINS MINERALS NUTRIENT,5,0.08,9.92,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Ventriol Cold Syrup,RESPIRATORY,480,8.11,1.89,High Flexibility (Safe),Lean Inventory (Low Risk)
Omtel 20mg Capsule,GASTRO INTESTINAL,56,0.95,9.05,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Gudstat 40mg Tablet,CARDIAC,263,4.44,5.56,Medium Flexibility,Regular Monitoring
Olsulin 40mg Tablet,CARDIAC,97,1.64,8.36,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Okenite 100 Tablet,NEURO CNS,44,0.74,9.26,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Flowmet 50mg/5ml Suspension,ANTI INFECTIVES,8,0.14,9.86,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Neuroflo Plus Injection,VITAMINS MINERALS NUTRIENT,19,0.32,9.68,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Etodonol 300mg Tablet,PAIN ANALGESICS,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Neutral  10 mg/150 mg Tablet,GASTRO INTESTINAL,313,5.29,4.71,Medium Flexibility,Regular Monitoring
Bromectin 12mg Tablet,ANTI INFECTIVES,99,1.67,8.33,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Jdpanta D 30mg/40mg Capsule SR,GASTRO INTESTINAL,18,0.3,9.7,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Omni 5mg Tablet,GASTRO INTESTINAL,481,8.12,1.88,High Flexibility (Safe),Lean Inventory (Low Risk)
U-Cin 100mg Injection,ANTI INFECTIVES,4,0.07,9.93,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Evitel H 40mg/12.5mg Tablet,CARDIAC,586,9.9,0.1,High Flexibility (Safe),Lean Inventory (Low Risk)
Itramag 100mg Capsule,ANTI INFECTIVES,18,0.3,9.7,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Megavert 8mg Tablet,NEURO CNS,28,0.47,9.53,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Elquix 500 Tablet,OPHTHAL,481,8.12,1.88,High Flexibility (Safe),Lean Inventory (Low Risk)
Dalacin C 300mg Capsule,ANTI INFECTIVES,41,0.69,9.31,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Tripcy  Tablet,PAIN ANALGESICS,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Cefcol D 200mg/500mg Tablet,ANTI INFECTIVES,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Femstrual M 500mg/250mg Tablet,BLOOD RELATE,590,9.97,0.03,High Flexibility (Safe),Lean Inventory (Low Risk)
Eurosar 50mg Tablet,CARDIAC,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Drovib Injection,GASTRO INTESTINAL,102,1.72,8.28,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Baclofast 5mg Tablet,PAIN ANALGESICS,37,0.62,9.38,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Relace SP 100mg/325mg/15mg Tablet,PAIN ANALGESICS,0,0.0,10.0,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Rightspas 20mg/250mg Tablet,PAIN ANALGESICS,103,1.74,8.26,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Kofrid 2.5 mg/30 mg/55 mg Expectorant,RESPIRATORY,131,2.21,7.79,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Bricarex A Expectorant,RESPIRATORY,265,4.48,5.52,Medium Flexibility,Regular Monitoring
Trrapeze MX Tablet,PAIN ANALGESICS,43,0.73,9.27,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Esomok-D 40 Capsule SR,GASTRO INTESTINAL,78,1.32,8.68,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Rumigest 2mg Tablet,GYNAECOLOGICAL,99,1.67,8.33,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Benelix Syrup,RESPIRATORY,36,0.61,9.39,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Incamox-CV Dry Syrup,ANTI INFECTIVES,477,8.06,1.94,High Flexibility (Safe),Lean Inventory (Low Risk)
Aprotic Syrup,VITAMINS MINERALS NUTRIENT,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Btcef TZ 1000mg/125mg Injection,ANTI INFECTIVES,43,0.73,9.27,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Bepostar Tablet,RESPIRATORY,481,8.12,1.88,High Flexibility (Safe),Lean Inventory (Low Risk)
Trisyp Syrup,GASTRO INTESTINAL,66,1.11,8.89,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Pentossan 100 Capsule,UROLOGY,99,1.67,8.33,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
